"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Создание курьера /api/v1/courier","28","Создание курьера c пустым паролем","tests","2026-05-07","passed","2026-05-07","TestScooterCreateCourier","test_courier_create","",""
"Логин курьера /api/v1/courier/login","29","Логин курьера с пустым паролем","tests","2026-05-07","passed","2026-05-07","TestScooterLoginCourier","test_courier_login","",""
"Логин курьера /api/v1/courier/login","29","Логин курьера без поля логина","tests","2026-05-07","passed","2026-05-07","TestScooterLoginCourier","test_courier_login","",""
"Создание заказа /api/v1/orders","263","Создание заказа c корректными параметрами","tests","2026-05-07","passed","2026-05-07","TestScooterCreateOrder","test_order_create","",""
"Принятие заказа /api/v1/orders/accept/:id","127","Принятие заказа без id курьера","tests","2026-05-07","passed","2026-05-07","TestScooterAcceptOrder","test_accept_order","",""
"Создание заказа /api/v1/orders","41","Создание заказа c корректными параметрами","tests","2026-05-07","passed","2026-05-07","TestScooterCreateOrder","test_order_create","",""
"Создание курьера /api/v1/courier","245","Создание курьера c корректными параметрами","tests","2026-05-07","passed","2026-05-07","TestScooterCreateCourier","test_courier_create","",""
"Создание курьера /api/v1/courier","27","Создание курьера без поля логина","tests","2026-05-07","passed","2026-05-07","TestScooterCreateCourier","test_courier_create","",""
"Создание курьера /api/v1/courier","21","Создание курьера без поля пароля","tests","2026-05-07","passed","2026-05-07","TestScooterCreateCourier","test_courier_create","",""
"Логин курьера /api/v1/courier/login","42","Логин курьера c корректными параметрами","tests","2026-05-07","passed","2026-05-07","TestScooterLoginCourier","test_courier_login","",""
"Получение заказа по его номеру /api/v1/orders/track","22","Получение заказа по его номеру без параметра трека","tests","2026-05-07","passed","2026-05-07","TestScooterGetOrderNumber","test_get_order_number","",""
"Принятие заказа /api/v1/orders/accept/:id","142","Принятие заказа c пустым id курьера","tests","2026-05-07","passed","2026-05-07","TestScooterAcceptOrder","test_accept_order","",""
"Создание курьера /api/v1/courier","94","Создание курьера c логином, с которым уже создан курьер","tests","2026-05-07","passed","2026-05-07","TestScooterCreateCourier","test_courier_create","",""
"Логин курьера /api/v1/courier/login","36","Логин курьера с некорректным логином","tests","2026-05-07","passed","2026-05-07","TestScooterLoginCourier","test_courier_login","",""
"Принятие заказа /api/v1/orders/accept/:id","160","Принятие заказа c некорректным id курьера","tests","2026-05-07","passed","2026-05-07","TestScooterAcceptOrder","test_accept_order","",""
"Создание курьера /api/v1/courier","92","Создание курьера c параметрами, по которым уже создан курьер","tests","2026-05-07","passed","2026-05-07","TestScooterCreateCourier","test_courier_create","",""
"Получение заказа по его номеру /api/v1/orders/track","106","Получение заказа по его номеру c корректными параметрами","tests","2026-05-07","passed","2026-05-07","TestScooterGetOrderNumber","test_get_order_number","",""
"Получение заказа по его номеру /api/v1/orders/track","23","Получение заказа по его номеру c пустым номером трека","tests","2026-05-07","passed","2026-05-07","TestScooterGetOrderNumber","test_get_order_number","",""
"Принятие заказа /api/v1/orders/accept/:id","70","Принятие заказа без id заказа","tests","2026-05-07","passed","2026-05-07","TestScooterAcceptOrder","test_accept_order","",""
"Создание курьера /api/v1/courier","22","Создание курьера с пустым логином","tests","2026-05-07","passed","2026-05-07","TestScooterCreateCourier","test_courier_create","",""
"Создание курьера /api/v1/courier","62","Создание курьера с пустым именем","tests","2026-05-07","passed","2026-05-07","TestScooterCreateCourier","test_courier_create","",""
"Принятие заказа /api/v1/orders/accept/:id","77","Принятие заказа c некорректным id заказа","tests","2026-05-07","passed","2026-05-07","TestScooterAcceptOrder","test_accept_order","",""
"Принятие заказа /api/v1/orders/accept/:id","302","Принятие заказа c корректными параметрами","tests","2026-05-07","passed","2026-05-07","TestScooterAcceptOrder","test_accept_order","",""
"Удаление курьера /api/v1/courier/:id","26","Удаление курьера без id курьера","tests","2026-05-07","passed","2026-05-07","TestScooterDeleteCourier","test_courier_delete","",""
"Удаление курьера /api/v1/courier/:id","28","Удаление курьера c несуществующим id курьера","tests","2026-05-07","passed","2026-05-07","TestScooterDeleteCourier","test_courier_delete","",""
"Получение списка заказов /api/v1/orders","414","Получение списка c корректными параметрами","tests","2026-05-07","passed","2026-05-07","TestScooterGetOrderList","test_get_order_list","",""
"Логин курьера /api/v1/courier/login","37","Логин курьера с некорректным паролем","tests","2026-05-07","passed","2026-05-07","TestScooterLoginCourier","test_courier_login","",""
"Создание курьера /api/v1/courier","54","Создание курьера без поля имени","tests","2026-05-07","passed","2026-05-07","TestScooterCreateCourier","test_courier_create","",""
"Логин курьера /api/v1/courier/login","30","Логин курьера с пустым логином","tests","2026-05-07","passed","2026-05-07","TestScooterLoginCourier","test_courier_login","",""
"Логин курьера /api/v1/courier/login","60033","Логин курьера без поля пароля","tests","2026-05-07","passed","2026-05-07","TestScooterLoginCourier","test_courier_login","",""
"Удаление курьера /api/v1/courier/:id","84","Удаление курьера c корректными параметрами","tests","2026-05-07","passed","2026-05-07","TestScooterDeleteCourier","test_courier_delete","",""
"Создание заказа /api/v1/orders","49","Создание заказа c корректными параметрами","tests","2026-05-07","passed","2026-05-07","TestScooterCreateOrder","test_order_create","",""
"Получение заказа по его номеру /api/v1/orders/track","46","Получение заказа по его номеру c несуществующим треком","tests","2026-05-07","passed","2026-05-07","TestScooterGetOrderNumber","test_get_order_number","",""
